Name,Price,Rating,Processor,RAM,Storage,Operating_System,Other_Spec,URL,Description
DELL 15,41990.0,4.2,AMD Ryzen 5 7530U,16 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/dell-15-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-3535-thin-light-laptop/p/itm672bf7685863c?pid=COMH8EPFGAZ5HFM3&lid=LSTCOMH8EPFGAZ5HFM3LJSGGR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNzOPQYvBEm7wKCZbsbXqJH-lGvc-Y3UDSn9sdLMrFVpZ04IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"AMD Ryzen 5 7530U, 16 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
CHUWI,16490.0,3.7,Intel Celeron 11th Gen,8 GB,256 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/chuwi-intel-celeron-dual-core-11th-gen-n4020-8-gb-256-gb-ssd-windows-11-home-herobook-pro-laptop/p/itm5e1f327988402?pid=COMGQHMZWHRXFWET&lid=LSTCOMGQHMZWHRXFWETVNWSPG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNxfn4R9qTUwzRGoK2Wt00bLBxQ9qM4SQktX8MmwnQnYIg%3D%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Celeron 11th Gen, 8 GB, 256 GB SSD, Windows 11 Home"
SAMSUNG Galaxy Book4 Metal,54990.0,4.5,Intel Core i5 13th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm820dc496ef160?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMGZUYDGFJGHZR4.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 13th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
Acer Aspire 3,15990.0,3.8,Intel Celeron,8 GB,256 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZ8BARKXFF&lid=LSTCOMH7NCZ8BARKXFF1JKE7D&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH7NCZ8BARKXFF.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Celeron, 8 GB, 256 GB SSD, Windows 11 Home, Thin and Light"
MSI Thin 15,50990.0,4.3,Intel Core i5 12th Gen,16 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-2471in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGYSFG4WHPVAVZ&lid=LSTCOMGYSFG4WHPVAVZ6L3G5Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMGYSFG4WHPVAVZ.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 16 GB, 512 GB SSD, Windows 11 Home"
HP Backlit,44990.0,4.3,Intel Core i5 12th Gen,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_9qEkbVbKGGbHZq43hKf4iq-Ty-10-0njCW_WtoFCKNyFAdZgCa-Rs1uNbBDGNRvwzju6oqsSZblhdc4T3vRYjEKsf8s6I2Oz2HOgbXTo_9U%3D&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i5 12th Gen, 8 GB, 512 GB SSD, Windows 11 Home"
ASUS Vivobook 15,35990.0,4.2,Intel Core i3 13th Gen,8 GB,512 GB SSD,Windows 11 Home,Unknown,https://www.flipkart.com/asus-vivobook-15-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1504va-nj323ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMGZDQJ7WBQQ7AR&lid=LSTCOMGZDQJ7WBQQ7ARKVDISD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMGZDQJ7WBQQ7AR.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Core i3 13th Gen, 8 GB, 512 GB SSD, Windows 11 Home"
Acer Aspire 3,17990.0,3.8,Intel Celeron,8 GB,512 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4RHDRWI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Celeron, 8 GB, 512 GB SSD, Windows 11 Home, Thin and Light"
"ASUS Vivobook 16,",62990.0,4.0,Qualcomm Snapdragon,Unknown,Unknown,Unknown,Unknown,https://www.flipkart.com/asus-vivobook-16-2025-copilot-pc-office-2024-m365-basic-ai-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-x1607qa-mb049ws-thin-light-laptop/p/itmaff92a0acb4ff?pid=COMH9EVGZHTHHPFH&lid=LSTCOMH9EVGZHTHHPFHLX91AF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH9EVGZHTHHPFH.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,Qualcomm Snapdragon
Acer Aspire 3,14990.0,3.8,Intel Celeron,8 GB,128 GB SSD,Windows 11 Home,['Thin and Light'],https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-128-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZGGGWQC4W&lid=LSTCOMH7NCZGGGWQC4WZOS2IO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=c5958a17-34b8-446d-ae6b-ad3a6d08a98a.COMH7NCZGGGWQC4W.SEARCH&ppt=None&ppn=None&ssid=jhu3hh04280000001746639004738&qH=c06ea84a1e3dc3c6,"Intel Celeron, 8 GB, 128 GB SSD, Windows 11 Home, Thin and Light"
